lang,n,index,restart,total_iters,cycles,converged,drazin_error,time_s
Python,10001,1,20,60,3,True,1.507196e-12,0.357240
Python,10002,2,20,60,3,True,8.732925e-10,0.130648
Python,25001,1,20,60,3,True,1.511996e-12,0.312543
Python,25002,2,20,60,3,True,8.752357e-10,0.368908
Python,50001,1,20,60,3,True,1.512275e-12,0.811671
Python,50002,2,20,60,3,True,8.756979e-10,1.059155
